Codigo de la estacion; Estacion; Nombre de la variable; Valor; Símbolo; Fecha
POR01;Torla;Humedad Máxima;100,00;%;01-12-2014
POR01;Torla;Humedad Máxima;100,00;%;01-01-2015
POR01;Torla;Humedad Máxima;100,00;%;01-02-2015
POR01;Torla;Humedad Máxima;100,00;%;01-03-2015
POR01;Torla;Humedad Máxima;100,00;%;01-04-2015
POR01;Torla;Humedad Máxima;100,00;%;01-05-2015
POR01;Torla;Humedad Máxima;100,00;%;01-06-2015
POR01;Torla;Humedad Máxima;100,00;%;01-07-2015
POR01;Torla;Humedad Máxima;100,00;%;01-08-2015
POR01;Torla;Humedad Máxima;100,00;%;01-09-2015
POR01;Torla;Humedad Máxima;100,00;%;01-10-2015
POR01;Torla;Humedad Máxima;100,00;%;01-11-2015
POR01;Torla;Humedad Máxima;100,00;%;01-12-2015
POR01;Torla;Humedad Máxima;100,00;%;01-01-2016
POR01;Torla;Humedad Máxima;100,00;%;01-02-2016
POR01;Torla;Humedad Máxima;100,00;%;01-03-2016
POR01;Torla;Humedad Máxima;100,00;%;01-04-2016
POR01;Torla;Humedad Máxima;100,00;%;01-05-2016
POR01;Torla;Humedad Máxima;100,00;%;01-06-2016
POR01;Torla;Humedad Máxima;100,00;%;01-07-2016
POR01;Torla;Humedad Máxima;100,00;%;01-08-2016
POR01;Torla;Humedad Máxima;100,00;%;01-09-2016
POR01;Torla;Humedad Máxima;100,00;%;01-10-2016
POR01;Torla;Humedad Máxima;100,00;%;01-11-2016
POR01;Torla;Humedad Máxima;96,50;%;01-12-2016
POR01;Torla;Humedad Máxima;100,00;%;01-01-2017
POR01;Torla;Humedad Máxima;100,00;%;01-02-2017
POR01;Torla;Humedad Máxima;100,00;%;01-03-2017
POR01;Torla;Humedad Máxima;100,00;%;01-04-2017
POR01;Torla;Humedad Máxima;100,00;%;01-05-2017
POR01;Torla;Humedad Máxima;100,00;%;01-06-2017
POR01;Torla;Humedad Máxima;100,00;%;01-07-2017
POR01;Torla;Humedad Máxima;100,00;%;01-08-2017
POR01;Torla;Humedad Máxima;100,00;%;01-09-2017
POR01;Torla;Humedad Máxima;100,00;%;01-10-2017
POR01;Torla;Humedad Máxima;100,00;%;01-11-2017
POR01;Torla;Humedad Máxima;100,00;%;01-12-2017
POR01;Torla;Humedad Máxima;100,00;%;01-01-2018
POR01;Torla;Humedad Máxima;100,00;%;01-02-2018
POR01;Torla;Humedad Máxima;100,00;%;01-03-2018
POR01;Torla;Humedad Máxima;100,00;%;01-04-2018
POR01;Torla;Humedad Máxima;100,00;%;01-07-2018
POR01;Torla;Humedad Máxima;100,00;%;01-08-2018
POR01;Torla;Humedad Máxima;100,00;%;01-09-2018
POR01;Torla;Humedad Máxima;100,00;%;01-10-2018
POR01;Torla;Humedad Máxima;100,00;%;01-11-2018
POR01;Torla;Humedad Máxima;100,00;%;01-12-2018
POR01;Torla;Humedad Máxima;99,70;%;01-01-2019
POR01;Torla;Humedad Máxima;99,60;%;01-02-2019
POR01;Torla;Humedad Máxima;99,80;%;01-03-2019
POR01;Torla;Humedad Máxima;100,00;%;01-04-2019
POR01;Torla;Humedad Máxima;100,00;%;01-05-2019
POR01;Torla;Humedad Máxima;100,00;%;01-10-2019
POR01;Torla;Humedad Máxima;100,00;%;01-11-2019
POR01;Torla;Humedad Máxima;100,00;%;01-02-2020
POR01;Torla;Humedad Máxima;100,00;%;01-03-2020
POR01;Torla;Humedad Máxima;100,00;%;01-04-2020
POR01;Torla;Humedad Máxima;100,00;%;01-05-2020
POR01;Torla;Humedad Máxima;100,00;%;01-06-2020
POR01;Torla;Humedad Máxima;100,00;%;01-07-2020
POR01;Torla;Humedad Máxima;100,00;%;01-08-2020
POR01;Torla;Humedad Máxima;100,00;%;01-09-2020
POR01;Torla;Humedad Máxima;100,00;%;01-10-2020
POR01;Torla;Humedad Máxima;100,00;%;01-11-2020
POR01;Torla;Humedad Máxima;100,00;%;01-12-2020
POR01;Torla;Humedad Máxima;100,00;%;01-01-2021
POR01;Torla;Humedad Máxima;100,00;%;01-02-2021
POR01;Torla;Humedad Máxima;100,00;%;01-03-2021
POR01;Torla;Humedad Máxima;100,00;%;01-04-2021
POR01;Torla;Humedad Máxima;100,00;%;01-05-2021
POR01;Torla;Humedad Máxima;100,00;%;01-06-2021
POR01;Torla;Humedad Máxima;100,00;%;01-07-2021
POR01;Torla;Humedad Máxima;100,00;%;01-08-2021
POR01;Torla;Humedad Máxima;100,00;%;01-09-2021
POR01;Torla;Humedad Máxima;100,00;%;01-10-2021
POR01;Torla;Humedad Máxima;99,60;%;01-11-2021
POR01;Torla;Humedad Máxima;100,00;%;01-12-2021
POR01;Torla;Humedad Máxima;100,00;%;01-01-2022
POR01;Torla;Humedad Máxima;100,00;%;01-09-2024
