Codigo de la estacion; Estacion; Nombre de la variable; Valor; Símbolo; Fecha
POR01;Torla;Humedad Mínima;2,34;%;01-12-2014
POR01;Torla;Humedad Mínima;3,80;%;01-01-2015
POR01;Torla;Humedad Mínima;15,93;%;01-02-2015
POR01;Torla;Humedad Mínima;4,14;%;01-03-2015
POR01;Torla;Humedad Mínima;10,34;%;01-04-2015
POR01;Torla;Humedad Mínima;13,88;%;01-05-2015
POR01;Torla;Humedad Mínima;18,42;%;01-06-2015
POR01;Torla;Humedad Mínima;12,93;%;01-07-2015
POR01;Torla;Humedad Mínima;22,41;%;01-08-2015
POR01;Torla;Humedad Mínima;20,66;%;01-09-2015
POR01;Torla;Humedad Mínima;18,40;%;01-10-2015
POR01;Torla;Humedad Mínima;13,37;%;01-11-2015
POR01;Torla;Humedad Mínima;20,16;%;01-12-2015
POR01;Torla;Humedad Mínima;12,22;%;01-01-2016
POR01;Torla;Humedad Mínima;8,08;%;01-02-2016
POR01;Torla;Humedad Mínima;7,81;%;01-03-2016
POR01;Torla;Humedad Mínima;16,40;%;01-04-2016
POR01;Torla;Humedad Mínima;12,64;%;01-05-2016
POR01;Torla;Humedad Mínima;19,24;%;01-06-2016
POR01;Torla;Humedad Mínima;16,79;%;01-07-2016
POR01;Torla;Humedad Mínima;12,43;%;01-08-2016
POR01;Torla;Humedad Mínima;9,55;%;01-09-2016
POR01;Torla;Humedad Mínima;18,76;%;01-10-2016
POR01;Torla;Humedad Mínima;17,35;%;01-11-2016
POR01;Torla;Humedad Mínima;10,55;%;01-12-2016
POR01;Torla;Humedad Mínima;5,63;%;01-01-2017
POR01;Torla;Humedad Mínima;11,73;%;01-02-2017
POR01;Torla;Humedad Mínima;6,81;%;01-03-2017
POR01;Torla;Humedad Mínima;15,44;%;01-04-2017
POR01;Torla;Humedad Mínima;15,45;%;01-05-2017
POR01;Torla;Humedad Mínima;15,24;%;01-06-2017
POR01;Torla;Humedad Mínima;17,73;%;01-07-2017
POR01;Torla;Humedad Mínima;13,48;%;01-08-2017
POR01;Torla;Humedad Mínima;13,55;%;01-09-2017
POR01;Torla;Humedad Mínima;14,48;%;01-10-2017
POR01;Torla;Humedad Mínima;5,29;%;01-11-2017
POR01;Torla;Humedad Mínima;6,72;%;01-12-2017
POR01;Torla;Humedad Mínima;18,78;%;01-01-2018
POR01;Torla;Humedad Mínima;13,93;%;01-02-2018
POR01;Torla;Humedad Mínima;10,38;%;01-03-2018
POR01;Torla;Humedad Mínima;26,91;%;01-04-2018
POR01;Torla;Humedad Mínima;17,27;%;01-07-2018
POR01;Torla;Humedad Mínima;10,43;%;01-08-2018
POR01;Torla;Humedad Mínima;7,05;%;01-09-2018
POR01;Torla;Humedad Mínima;7,05;%;01-10-2018
POR01;Torla;Humedad Mínima;15,11;%;01-11-2018
POR01;Torla;Humedad Mínima;7,39;%;01-12-2018
POR01;Torla;Humedad Mínima;4,68;%;01-01-2019
POR01;Torla;Humedad Mínima;7,57;%;01-02-2019
POR01;Torla;Humedad Mínima;5,68;%;01-03-2019
POR01;Torla;Humedad Mínima;6,01;%;01-04-2019
POR01;Torla;Humedad Mínima;7,18;%;01-05-2019
POR01;Torla;Humedad Mínima;18,82;%;01-10-2019
POR01;Torla;Humedad Mínima;24,16;%;01-11-2019
POR01;Torla;Humedad Mínima;9,98;%;01-02-2020
POR01;Torla;Humedad Mínima;18,26;%;01-03-2020
POR01;Torla;Humedad Mínima;30,33;%;01-04-2020
POR01;Torla;Humedad Mínima;18,84;%;01-05-2020
POR01;Torla;Humedad Mínima;29,54;%;01-06-2020
POR01;Torla;Humedad Mínima;22,02;%;01-07-2020
POR01;Torla;Humedad Mínima;15,68;%;01-08-2020
POR01;Torla;Humedad Mínima;24,01;%;01-09-2020
POR01;Torla;Humedad Mínima;23,61;%;01-10-2020
POR01;Torla;Humedad Mínima;10,45;%;01-11-2020
POR01;Torla;Humedad Mínima;6,79;%;01-12-2020
POR01;Torla;Humedad Mínima;9,73;%;01-01-2021
POR01;Torla;Humedad Mínima;14,10;%;01-02-2021
POR01;Torla;Humedad Mínima;13,41;%;01-03-2021
POR01;Torla;Humedad Mínima;16,72;%;01-04-2021
POR01;Torla;Humedad Mínima;28,62;%;01-05-2021
POR01;Torla;Humedad Mínima;17,96;%;01-06-2021
POR01;Torla;Humedad Mínima;18,29;%;01-07-2021
POR01;Torla;Humedad Mínima;10,77;%;01-08-2021
POR01;Torla;Humedad Mínima;34,91;%;01-09-2021
POR01;Torla;Humedad Mínima;15,35;%;01-10-2021
POR01;Torla;Humedad Mínima;8,29;%;01-11-2021
POR01;Torla;Humedad Mínima;21,10;%;01-12-2021
POR01;Torla;Humedad Mínima;8,73;%;01-01-2022
POR01;Torla;Humedad Mínima;9,00;%;01-09-2024
