Codigo de la estacion; Estacion; Nombre de la variable; Valor; Símbolo; Fecha
POR01;Torla;Temperatura Máxima;16,76;ºC;01-12-2014
POR01;Torla;Temperatura Máxima;19,21;ºC;01-01-2015
POR01;Torla;Temperatura Máxima;13,26;ºC;01-02-2015
POR01;Torla;Temperatura Máxima;20,84;ºC;01-03-2015
POR01;Torla;Temperatura Máxima;22,64;ºC;01-04-2015
POR01;Torla;Temperatura Máxima;28,81;ºC;01-05-2015
POR01;Torla;Temperatura Máxima;33,16;ºC;01-06-2015
POR01;Torla;Temperatura Máxima;34,37;ºC;01-07-2015
POR01;Torla;Temperatura Máxima;31,44;ºC;01-08-2015
POR01;Torla;Temperatura Máxima;26,05;ºC;01-09-2015
POR01;Torla;Temperatura Máxima;26,16;ºC;01-10-2015
POR01;Torla;Temperatura Máxima;30,37;ºC;01-11-2015
POR01;Torla;Temperatura Máxima;19,52;ºC;01-12-2015
POR01;Torla;Temperatura Máxima;17,22;ºC;01-01-2016
POR01;Torla;Temperatura Máxima;23,61;ºC;01-02-2016
POR01;Torla;Temperatura Máxima;22,45;ºC;01-03-2016
POR01;Torla;Temperatura Máxima;33,95;ºC;01-04-2016
POR01;Torla;Temperatura Máxima;26,18;ºC;01-05-2016
POR01;Torla;Temperatura Máxima;36,60;ºC;01-06-2016
POR01;Torla;Temperatura Máxima;32,59;ºC;01-07-2016
POR01;Torla;Temperatura Máxima;37,25;ºC;01-08-2016
POR01;Torla;Temperatura Máxima;39,28;ºC;01-09-2016
POR01;Torla;Temperatura Máxima;40,66;ºC;01-10-2016
POR01;Torla;Temperatura Máxima;34,64;ºC;01-11-2016
POR01;Torla;Temperatura Máxima;18,33;ºC;01-12-2016
POR01;Torla;Temperatura Máxima;19,01;ºC;01-01-2017
POR01;Torla;Temperatura Máxima;27,35;ºC;01-02-2017
POR01;Torla;Temperatura Máxima;36,48;ºC;01-03-2017
POR01;Torla;Temperatura Máxima;42,58;ºC;01-04-2017
POR01;Torla;Temperatura Máxima;36,89;ºC;01-05-2017
POR01;Torla;Temperatura Máxima;32,20;ºC;01-06-2017
POR01;Torla;Temperatura Máxima;44,62;ºC;01-07-2017
POR01;Torla;Temperatura Máxima;49,47;ºC;01-08-2017
POR01;Torla;Temperatura Máxima;41,49;ºC;01-09-2017
POR01;Torla;Temperatura Máxima;42,10;ºC;01-10-2017
POR01;Torla;Temperatura Máxima;26,06;ºC;01-11-2017
POR01;Torla;Temperatura Máxima;16,97;ºC;01-12-2017
POR01;Torla;Temperatura Máxima;36,70;ºC;01-01-2018
POR01;Torla;Temperatura Máxima;31,45;ºC;01-02-2018
POR01;Torla;Temperatura Máxima;34,84;ºC;01-03-2018
POR01;Torla;Temperatura Máxima;46,24;ºC;01-04-2018
POR01;Torla;Temperatura Máxima;41,24;ºC;01-07-2018
POR01;Torla;Temperatura Máxima;49,98;ºC;01-08-2018
POR01;Torla;Temperatura Máxima;34,39;ºC;01-10-2018
POR01;Torla;Temperatura Máxima;16,52;ºC;01-11-2018
POR01;Torla;Temperatura Máxima;19,51;ºC;01-12-2018
POR01;Torla;Temperatura Máxima;16,96;ºC;01-01-2019
POR01;Torla;Temperatura Máxima;23,06;ºC;01-02-2019
POR01;Torla;Temperatura Máxima;22,52;ºC;01-03-2019
POR01;Torla;Temperatura Máxima;22,29;ºC;01-04-2019
POR01;Torla;Temperatura Máxima;30,70;ºC;01-05-2019
POR01;Torla;Temperatura Máxima;38,36;ºC;01-10-2019
POR01;Torla;Temperatura Máxima;23,34;ºC;01-11-2019
POR01;Torla;Temperatura Máxima;21,13;ºC;01-02-2020
POR01;Torla;Temperatura Máxima;23,59;ºC;01-03-2020
POR01;Torla;Temperatura Máxima;17,96;ºC;01-04-2020
POR01;Torla;Temperatura Máxima;28,18;ºC;01-05-2020
POR01;Torla;Temperatura Máxima;28,69;ºC;01-06-2020
POR01;Torla;Temperatura Máxima;34,03;ºC;01-07-2020
POR01;Torla;Temperatura Máxima;33,48;ºC;01-08-2020
POR01;Torla;Temperatura Máxima;31,22;ºC;01-09-2020
POR01;Torla;Temperatura Máxima;24,86;ºC;01-10-2020
POR01;Torla;Temperatura Máxima;23,22;ºC;01-11-2020
POR01;Torla;Temperatura Máxima;13,91;ºC;01-12-2020
POR01;Torla;Temperatura Máxima;15,47;ºC;01-01-2021
POR01;Torla;Temperatura Máxima;25,16;ºC;01-02-2021
POR01;Torla;Temperatura Máxima;32,13;ºC;01-03-2021
POR01;Torla;Temperatura Máxima;25,28;ºC;01-04-2021
POR01;Torla;Temperatura Máxima;31,14;ºC;01-05-2021
POR01;Torla;Temperatura Máxima;44,31;ºC;01-06-2021
POR01;Torla;Temperatura Máxima;41,00;ºC;01-07-2021
POR01;Torla;Temperatura Máxima;45,23;ºC;01-08-2021
POR01;Torla;Temperatura Máxima;31,09;ºC;01-09-2021
POR01;Torla;Temperatura Máxima;32,18;ºC;01-10-2021
POR01;Torla;Temperatura Máxima;16,54;ºC;01-11-2021
POR01;Torla;Temperatura Máxima;18,29;ºC;01-12-2021
POR01;Torla;Temperatura Máxima;17,43;ºC;01-01-2022
POR01;Torla;Temperatura Máxima;28,00;ºC;01-09-2024
