Codigo de la estacion; Estacion; Nombre de la variable; Valor; Símbolo; Fecha
POR01;Torla;Temperatura Mínima;-3,45;ºC;01-12-2014
POR01;Torla;Temperatura Mínima;-5,27;ºC;01-01-2015
POR01;Torla;Temperatura Mínima;-8,66;ºC;01-02-2015
POR01;Torla;Temperatura Mínima;-2,56;ºC;01-03-2015
POR01;Torla;Temperatura Mínima;1,50;ºC;01-04-2015
POR01;Torla;Temperatura Mínima;3,79;ºC;01-05-2015
POR01;Torla;Temperatura Mínima;7,07;ºC;01-06-2015
POR01;Torla;Temperatura Mínima;11,42;ºC;01-07-2015
POR01;Torla;Temperatura Mínima;7,64;ºC;01-08-2015
POR01;Torla;Temperatura Mínima;4,59;ºC;01-09-2015
POR01;Torla;Temperatura Mínima;0,44;ºC;01-10-2015
POR01;Torla;Temperatura Mínima;-4,50;ºC;01-11-2015
POR01;Torla;Temperatura Mínima;-0,68;ºC;01-12-2015
POR01;Torla;Temperatura Mínima;-3,73;ºC;01-01-2016
POR01;Torla;Temperatura Mínima;-3,42;ºC;01-02-2016
POR01;Torla;Temperatura Mínima;-2,75;ºC;01-03-2016
POR01;Torla;Temperatura Mínima;0,61;ºC;01-04-2016
POR01;Torla;Temperatura Mínima;1,35;ºC;01-05-2016
POR01;Torla;Temperatura Mínima;5,04;ºC;01-06-2016
POR01;Torla;Temperatura Mínima;5,27;ºC;01-07-2016
POR01;Torla;Temperatura Mínima;9,26;ºC;01-08-2016
POR01;Torla;Temperatura Mínima;5,89;ºC;01-09-2016
POR01;Torla;Temperatura Mínima;3,11;ºC;01-10-2016
POR01;Torla;Temperatura Mínima;-2,10;ºC;01-11-2016
POR01;Torla;Temperatura Mínima;-2,57;ºC;01-12-2016
POR01;Torla;Temperatura Mínima;-10,33;ºC;01-01-2017
POR01;Torla;Temperatura Mínima;-3,99;ºC;01-02-2017
POR01;Torla;Temperatura Mínima;-0,58;ºC;01-03-2017
POR01;Torla;Temperatura Mínima;-2,27;ºC;01-04-2017
POR01;Torla;Temperatura Mínima;0,85;ºC;01-05-2017
POR01;Torla;Temperatura Mínima;5,07;ºC;01-06-2017
POR01;Torla;Temperatura Mínima;6,05;ºC;01-07-2017
POR01;Torla;Temperatura Mínima;8,02;ºC;01-08-2017
POR01;Torla;Temperatura Mínima;2,97;ºC;01-09-2017
POR01;Torla;Temperatura Mínima;3,99;ºC;01-10-2017
POR01;Torla;Temperatura Mínima;-3,49;ºC;01-11-2017
POR01;Torla;Temperatura Mínima;-3,89;ºC;01-12-2017
POR01;Torla;Temperatura Mínima;-2,60;ºC;01-01-2018
POR01;Torla;Temperatura Mínima;-7,31;ºC;01-02-2018
POR01;Torla;Temperatura Mínima;-3,87;ºC;01-03-2018
POR01;Torla;Temperatura Mínima;-1,00;ºC;01-04-2018
POR01;Torla;Temperatura Mínima;12,48;ºC;01-07-2018
POR01;Torla;Temperatura Mínima;11,16;ºC;01-08-2018
POR01;Torla;Temperatura Mínima;-3,79;ºC;01-10-2018
POR01;Torla;Temperatura Mínima;-1,46;ºC;01-11-2018
POR01;Torla;Temperatura Mínima;-0,85;ºC;01-12-2018
POR01;Torla;Temperatura Mínima;-4,47;ºC;01-01-2019
POR01;Torla;Temperatura Mínima;-4,40;ºC;01-02-2019
POR01;Torla;Temperatura Mínima;-1,57;ºC;01-03-2019
POR01;Torla;Temperatura Mínima;-4,11;ºC;01-04-2019
POR01;Torla;Temperatura Mínima;0,06;ºC;01-05-2019
POR01;Torla;Temperatura Mínima;3,98;ºC;01-10-2019
POR01;Torla;Temperatura Mínima;-4,61;ºC;01-11-2019
POR01;Torla;Temperatura Mínima;-1,89;ºC;01-02-2020
POR01;Torla;Temperatura Mínima;-3,98;ºC;01-03-2020
POR01;Torla;Temperatura Mínima;0,58;ºC;01-04-2020
POR01;Torla;Temperatura Mínima;4,43;ºC;01-05-2020
POR01;Torla;Temperatura Mínima;5,25;ºC;01-06-2020
POR01;Torla;Temperatura Mínima;9,55;ºC;01-07-2020
POR01;Torla;Temperatura Mínima;5,49;ºC;01-08-2020
POR01;Torla;Temperatura Mínima;2,60;ºC;01-09-2020
POR01;Torla;Temperatura Mínima;0,47;ºC;01-10-2020
POR01;Torla;Temperatura Mínima;-0,09;ºC;01-11-2020
POR01;Torla;Temperatura Mínima;-5,78;ºC;01-12-2020
POR01;Torla;Temperatura Mínima;-8,01;ºC;01-01-2021
POR01;Torla;Temperatura Mínima;-0,90;ºC;01-02-2021
POR01;Torla;Temperatura Mínima;-1,17;ºC;01-03-2021
POR01;Torla;Temperatura Mínima;-0,60;ºC;01-04-2021
POR01;Torla;Temperatura Mínima;0,65;ºC;01-05-2021
POR01;Torla;Temperatura Mínima;6,40;ºC;01-06-2021
POR01;Torla;Temperatura Mínima;8,87;ºC;01-07-2021
POR01;Torla;Temperatura Mínima;8,87;ºC;01-08-2021
POR01;Torla;Temperatura Mínima;5,25;ºC;01-09-2021
POR01;Torla;Temperatura Mínima;2,64;ºC;01-10-2021
POR01;Torla;Temperatura Mínima;-3,90;ºC;01-11-2021
POR01;Torla;Temperatura Mínima;-2,40;ºC;01-12-2021
POR01;Torla;Temperatura Mínima;-4,18;ºC;01-01-2022
POR01;Torla;Temperatura Mínima;2,80;ºC;01-09-2024
