Codigo de la estacion; Estacion; Nombre de la variable; Valor; Símbolo; Fecha
POR01;Torla;Lluvia máxima;9,80;mm;01-12-2014
POR01;Torla;Lluvia máxima;17,00;mm;01-01-2015
POR01;Torla;Lluvia máxima;28,10;mm;01-02-2015
POR01;Torla;Lluvia máxima;22,00;mm;01-03-2015
POR01;Torla;Lluvia máxima;30,10;mm;01-04-2015
POR01;Torla;Lluvia máxima;16,00;mm;01-05-2015
POR01;Torla;Lluvia máxima;27,10;mm;01-06-2015
POR01;Torla;Lluvia máxima;5,50;mm;01-07-2015
POR01;Torla;Lluvia máxima;0,10;mm;01-08-2015
POR01;Torla;Lluvia máxima;0,10;mm;01-09-2015
POR01;Torla;Lluvia máxima;0,10;mm;01-10-2015
POR01;Torla;Lluvia máxima;30,80;mm;01-11-2015
POR01;Torla;Lluvia máxima;7,30;mm;01-12-2015
POR01;Torla;Lluvia máxima;41,20;mm;01-01-2016
POR01;Torla;Lluvia máxima;30,80;mm;01-02-2016
POR01;Torla;Lluvia máxima;19,30;mm;01-03-2016
POR01;Torla;Lluvia máxima;18,60;mm;01-04-2016
POR01;Torla;Lluvia máxima;52,10;mm;01-05-2016
POR01;Torla;Lluvia máxima;14,70;mm;01-06-2016
POR01;Torla;Lluvia máxima;15,50;mm;01-07-2016
POR01;Torla;Lluvia máxima;22,60;mm;01-08-2016
POR01;Torla;Lluvia máxima;30,10;mm;01-09-2016
POR01;Torla;Lluvia máxima;14,40;mm;01-10-2016
POR01;Torla;Lluvia máxima;58,50;mm;01-11-2016
POR01;Torla;Lluvia máxima;0,20;mm;01-12-2016
POR01;Torla;Lluvia máxima;11,10;mm;01-01-2017
POR01;Torla;Lluvia máxima;44,60;mm;01-02-2017
POR01;Torla;Lluvia máxima;17,60;mm;01-03-2017
POR01;Torla;Lluvia máxima;15,50;mm;01-04-2017
POR01;Torla;Lluvia máxima;34,90;mm;01-05-2017
POR01;Torla;Lluvia máxima;21,90;mm;01-06-2017
POR01;Torla;Lluvia máxima;23,80;mm;01-07-2017
POR01;Torla;Lluvia máxima;36,70;mm;01-08-2017
POR01;Torla;Lluvia máxima;12,40;mm;01-09-2017
POR01;Torla;Lluvia máxima;4,70;mm;01-10-2017
POR01;Torla;Lluvia máxima;12,70;mm;01-11-2017
POR01;Torla;Lluvia máxima;52,40;mm;01-12-2017
POR01;Torla;Lluvia máxima;18,20;mm;01-01-2018
POR01;Torla;Lluvia máxima;65,00;mm;01-02-2018
POR01;Torla;Lluvia máxima;65,00;mm;01-03-2018
POR01;Torla;Lluvia máxima;34,80;mm;01-04-2018
POR01;Torla;Lluvia máxima;1,30;mm;01-07-2018
POR01;Torla;Lluvia máxima;58,20;mm;01-08-2018
POR01;Torla;Lluvia máxima;25,00;mm;01-09-2018
POR01;Torla;Lluvia máxima;81,70;mm;01-10-2018
POR01;Torla;Lluvia máxima;27,30;mm;01-11-2018
POR01;Torla;Lluvia máxima;22,90;mm;01-12-2018
POR01;Torla;Lluvia máxima;31,30;mm;01-01-2019
POR01;Torla;Lluvia máxima;16,50;mm;01-02-2019
POR01;Torla;Lluvia máxima;0,00;mm;01-03-2019
POR01;Torla;Lluvia máxima;0,00;mm;01-04-2019
POR01;Torla;Lluvia máxima;0,00;mm;01-05-2019
POR01;Torla;Lluvia máxima;0,00;mm;01-10-2019
POR01;Torla;Lluvia máxima;0,00;mm;01-11-2019
POR01;Torla;Lluvia máxima;17,44;mm;01-02-2020
POR01;Torla;Lluvia máxima;40,70;mm;01-03-2020
POR01;Torla;Lluvia máxima;21,73;mm;01-04-2020
POR01;Torla;Lluvia máxima;54,98;mm;01-05-2020
POR01;Torla;Lluvia máxima;29,89;mm;01-06-2020
POR01;Torla;Lluvia máxima;60,38;mm;01-07-2020
POR01;Torla;Lluvia máxima;15,40;mm;01-08-2020
POR01;Torla;Lluvia máxima;27,03;mm;01-09-2020
POR01;Torla;Lluvia máxima;55,90;mm;01-10-2020
POR01;Torla;Lluvia máxima;38,96;mm;01-11-2020
POR01;Torla;Lluvia máxima;24,07;mm;01-12-2020
POR01;Torla;Lluvia máxima;31,31;mm;01-01-2021
POR01;Torla;Lluvia máxima;62,63;mm;01-02-2021
POR01;Torla;Lluvia máxima;7,65;mm;01-03-2021
POR01;Torla;Lluvia máxima;40,49;mm;01-04-2021
POR01;Torla;Lluvia máxima;31,82;mm;01-05-2021
POR01;Torla;Lluvia máxima;20,81;mm;01-06-2021
POR01;Torla;Lluvia máxima;22,24;mm;01-07-2021
POR01;Torla;Lluvia máxima;0,51;mm;01-08-2021
POR01;Torla;Lluvia máxima;17,24;mm;01-09-2021
POR01;Torla;Lluvia máxima;34,88;mm;01-10-2021
POR01;Torla;Lluvia máxima;11,37;mm;01-11-2021
POR01;Torla;Lluvia máxima;32,54;mm;01-12-2021
POR01;Torla;Lluvia máxima;36,55;mm;01-01-2022
